country,region,sport,segment,score,supply,demand,appetite,agent_density,country_confidence
Finland,nordics,running / trail,niche,80.6,1.0,0.521,0.925,0.1,measured
Finland,nordics,cycling,niche,67.6,0.842,0.561,0.77,0.35,measured
Finland,nordics,swimming,niche,68.8,0.819,0.472,0.841,0.25,measured
Finland,nordics,football,popular,50.8,0.795,0.806,0.313,0.88,measured
Finland,nordics,fitness / gym,niche,72.8,0.868,0.312,0.956,0.08,measured
Finland,nordics,padel,niche,75.7,0.793,0.482,0.807,0.15,measured
Finland,nordics,tennis,popular,48.3,0.666,0.606,0.438,0.78,measured
Finland,nordics,basketball,popular,49.9,0.705,0.674,0.385,0.78,measured
Finland,nordics,volleyball,popular,56.1,0.642,0.472,0.626,0.45,measured
Finland,nordics,climbing,niche,65.3,0.626,0.32,0.811,0.12,measured
Finland,nordics,athletics,popular,57.1,0.687,0.561,0.549,0.48,measured
Finland,nordics,triathlon,niche,56.6,0.474,0.28,0.676,0.14,measured
Finland,nordics,surfing,niche,55.6,0.502,0.361,0.589,0.22,measured
Finland,nordics,golf,popular,47.7,0.615,0.532,0.482,0.72,measured
Finland,nordics,boxing,popular,39.5,0.468,0.44,0.401,0.7,measured
Finland,nordics,MMA,popular,40.0,0.447,0.489,0.295,0.66,measured
Finland,nordics,gymnastics,niche,51.5,0.525,0.413,0.539,0.42,measured
Finland,nordics,handball,niche,58.6,0.623,0.542,0.477,0.42,measured
Finland,nordics,rowing,niche,54.0,0.423,0.265,0.626,0.18,measured
Finland,nordics,skateboarding,niche,55.3,0.525,0.339,0.661,0.28,measured
Finland,nordics,motorsport,popular,29.2,0.255,0.573,0.063,0.85,measured
Sweden,nordics,running / trail,niche,80.5,0.993,0.529,0.918,0.1,measured
Sweden,nordics,cycling,niche,67.3,0.835,0.568,0.752,0.35,measured
Sweden,nordics,swimming,niche,68.6,0.813,0.48,0.828,0.25,measured
Sweden,nordics,football,popular,50.5,0.788,0.814,0.293,0.88,measured
Sweden,nordics,fitness / gym,niche,72.7,0.861,0.32,0.952,0.08,measured
Sweden,nordics,padel,niche,75.4,0.786,0.49,0.791,0.15,measured
Sweden,nordics,tennis,popular,48.0,0.659,0.614,0.415,0.78,measured
Sweden,nordics,basketball,popular,49.5,0.698,0.682,0.363,0.78,measured
Sweden,nordics,volleyball,popular,55.8,0.636,0.48,0.603,0.45,measured
Sweden,nordics,climbing,niche,65.0,0.619,0.327,0.796,0.12,measured
Sweden,nordics,athletics,popular,56.7,0.68,0.568,0.525,0.48,measured
Sweden,nordics,triathlon,niche,56.2,0.467,0.288,0.655,0.14,measured
Sweden,nordics,surfing,niche,55.2,0.495,0.369,0.565,0.22,measured
Sweden,nordics,golf,popular,47.3,0.608,0.539,0.457,0.72,measured
Sweden,nordics,boxing,popular,39.2,0.461,0.448,0.378,0.7,measured
Sweden,nordics,MMA,popular,39.7,0.44,0.497,0.275,0.66,measured
Sweden,nordics,gymnastics,niche,51.1,0.519,0.421,0.515,0.42,measured
Sweden,nordics,handball,niche,58.2,0.616,0.55,0.453,0.42,measured
Sweden,nordics,rowing,niche,53.6,0.417,0.272,0.603,0.18,measured
Sweden,nordics,skateboarding,niche,55.0,0.519,0.347,0.639,0.28,measured
Sweden,nordics,motorsport,popular,29.1,0.248,0.581,0.057,0.85,measured
Denmark,nordics,running / trail,niche,80.0,0.979,0.529,0.91,0.1,measured
Denmark,nordics,cycling,niche,66.6,0.82,0.568,0.734,0.35,measured
Denmark,nordics,swimming,niche,68.0,0.798,0.48,0.814,0.25,measured
Denmark,nordics,football,popular,49.8,0.774,0.814,0.273,0.88,measured
Denmark,nordics,fitness / gym,niche,72.3,0.846,0.32,0.947,0.08,measured
Denmark,nordics,padel,niche,74.8,0.772,0.49,0.775,0.15,measured
Denmark,nordics,tennis,popular,47.3,0.645,0.614,0.392,0.78,measured
Denmark,nordics,basketball,popular,48.8,0.683,0.682,0.341,0.78,measured
Denmark,nordics,volleyball,popular,55.1,0.621,0.48,0.58,0.45,measured
Denmark,nordics,climbing,niche,64.4,0.605,0.327,0.78,0.12,measured
Denmark,nordics,athletics,popular,56.0,0.665,0.568,0.501,0.48,measured
Denmark,nordics,triathlon,niche,55.6,0.452,0.288,0.633,0.14,measured
Denmark,nordics,surfing,niche,54.5,0.48,0.369,0.542,0.22,measured
Denmark,nordics,golf,popular,46.6,0.593,0.539,0.434,0.72,measured
Denmark,nordics,boxing,popular,38.5,0.446,0.448,0.356,0.7,measured
Denmark,nordics,MMA,popular,39.0,0.426,0.497,0.256,0.66,measured
Denmark,nordics,gymnastics,niche,50.4,0.504,0.421,0.491,0.42,measured
Denmark,nordics,handball,niche,57.5,0.601,0.55,0.429,0.42,measured
Denmark,nordics,rowing,niche,52.9,0.402,0.272,0.58,0.18,measured
Denmark,nordics,skateboarding,niche,54.3,0.504,0.347,0.617,0.28,measured
Denmark,nordics,motorsport,popular,28.6,0.233,0.581,0.052,0.85,measured
Netherlands,benelux,running / trail,niche,76.6,0.929,0.49,0.905,0.1,estimate
Netherlands,benelux,cycling,niche,74.1,0.929,0.679,0.723,0.35,estimate
Netherlands,benelux,swimming,niche,70.1,0.828,0.516,0.805,0.25,estimate
Netherlands,benelux,football,popular,52.9,0.82,0.866,0.263,0.88,estimate
Netherlands,benelux,fitness / gym,niche,72.5,0.848,0.33,0.944,0.08,estimate
Netherlands,benelux,padel,niche,64.5,0.623,0.356,0.766,0.15,estimate
Netherlands,benelux,tennis,popular,47.3,0.647,0.623,0.379,0.78,estimate
Netherlands,benelux,basketball,popular,48.9,0.685,0.692,0.329,0.78,estimate
Netherlands,benelux,volleyball,popular,55.1,0.623,0.49,0.566,0.45,estimate
Netherlands,benelux,climbing,niche,62.2,0.573,0.304,0.771,0.12,estimate
Netherlands,benelux,athletics,popular,56.0,0.667,0.578,0.487,0.48,estimate
Netherlands,benelux,triathlon,niche,55.6,0.454,0.297,0.62,0.14,estimate
Netherlands,benelux,surfing,niche,54.6,0.482,0.379,0.528,0.22,estimate
Netherlands,benelux,golf,popular,46.7,0.595,0.549,0.421,0.72,estimate
